co2 {"time": "2024-04-10 05:12:31", "co2": 407.8}
co2 {"time": "2024-04-10 05:12:35", "co2": 418.5}
co2 {"time": "2024-04-10 05:12:39", "co2": 315.8}
co2 {"time": "2024-04-10 05:12:43", "co2": 462.4}
co2 {"time": "2024-04-10 05:12:47", "co2": 385.0}
co2 {"time": "2024-04-10 05:12:51", "co2": 402.7}
co2 {"time": "2024-04-10 05:12:55", "co2": 472.0}
co2 {"time": "2024-04-10 05:12:59", "co2": 321.5}
co2 {"time": "2024-04-10 05:13:03", "co2": 370.9}
co2 {"time": "2024-04-10 05:13:07", "co2": 376.6}
co2 {"time": "2024-04-10 05:13:11", "co2": 496.8}
co2 {"time": "2024-04-10 05:13:15", "co2": 383.5}
co2 {"time": "2024-04-10 05:13:19", "co2": 366.5}
co2 {"time": "2024-04-10 05:13:23", "co2": 487.9}
co2 {"time": "2024-04-10 05:13:27", "co2": 485.3}
co2 {"time": "2024-04-10 05:13:31", "co2": 375.5}
co2 {"time": "2024-04-10 05:13:35", "co2": 306.9}
